Tanggal Posting;Nama Tampilan;Username;Teks Tweet;Retweets;Likes;Total Interaksi
12/01/2021;Fry;@Ferryan54658106;Ibu Risma berhasil....banyak yang gerah...akhirnya publikasi gratis..publik Jakarta dan Nasional melihat siapa yang bisa kerja;0;0;0
13/01/2021;frds;@hatiygterdlm;Udh setahun ini jakarta gak gerah;0;0;0
15/01/2021;Validnews Indonesia;@validnewsid;(THREAD) Memang sih Jakarta gerah. AC dan kipas angin selalu jadi andalan ketika kita kepanasan. Tapi hati-hati-jangan terlalu lama mengarahkan angin langsung ke muka ya! #kipasangin #gayahidup;2;0;2
15/01/2021;Nana;@kryssjieunie;Semoga besok dan seterusnya cuaca panas ya di jakarta udh mulai panas bbrp hari ini. semoga;0;0;0
15/01/2021;dera;@satojist;yang paling menakutkan dari tinggal di jakarta adalah gue mulai terbiasa sama cuaca jakarta. alias pagi kenapa dingin? padahal awal-awal di sini mandi terus karena gerah;0;0;0
16/01/2021;Jejaka++;@jejakaplusplus;Halah taik, jakarta mati lampu 1jam aja ribut setengah mati.. Kalimantan itu jarang mengeluh, lampu nyala sehari 3jam tiap hari kita diam aja, kalau sampai kami mengeluh berarti itu sudah gerah dan muak. Kami bukan mengemis tp mengirim pesan! Apa Indonesia masih perlu kalimantan?;0;2;2
16/01/2021;IG : Kak Jek;@kakjek;Jakarta gerah;0;0;0
16/01/2021;Yam;@yamibaezzy;Ya Allah Jakarta berasa panas banget hari ini  sampe gak bisa tidur siang;0;0;0
16/01/2021;Sailormon;@moniqueft_;hah gila gerah banget sih jakarta;0;0;0
17/01/2021;Nadilla Rachmawati;@Nadillarachmaw1;Jakarta panas banget yaa padahal ga ada matahari;0;0;0
17/01/2021;Noviyana E Jannah;@vieana_0511;Kapan bisa bobonya jam segini masih makan dan ngemil  sementara besok mau nguli lagi Efek cuaca jakarta panas banget_;0;0;0
17/01/2021;Regina Lenggogeni;@reginalenggo;Jakarta saat ini gerah banget. Biasanya adem;0;0;0
17/01/2021;Lala;@CULESTlAL;Udara Bandung memang tidak bisa dipungkiri kejernihannya. Apalagi kalau dibandingkan dengan Jakarta yang tidak kena pendingin ruangan saja rasanya sangat gerah... dan apek!  +;0;0;0
17/01/2021;Hiro;@hajegallery;Gerah, kan Jakarta kayak neraka bocor.;0;0;0
